question,top_retrieved_chunk,top_2_retrieved_chunk,top_3_retrieved_chunk
ماذا يجب توفيره في نقاط الإنقاذ بالمناجم؟,المادة الثانية والتسعون بعد المائة : على صاحب العمل إنشاء نقطة إنقاذ قريبة من مكان العمل مجهزة بأدوات الإنقاذ والإسعافات الضرورية، وأن يكون بهذه النقطة وسيلة اتصال مناسبة، بحيث تصلح للاستعانة بها في الحال، وعليه تعيين عامل فني مدرب للإشراف على عمليات الإنقاذ والإسعافات الأولية.,المادة الثالثة والتسعون بعد المائة : مع عدم الإخلال بحكم المادة الثانية والأربعين بعد المائة من هذا النظام على صاحب العمل أن يعد في كل منجم أو محجر يشتغل فيه خمسون عاملًا على الأقل مكانًا مناسبًا يحتوي على غرفة مجهزة بوسائل الإنقاذ والإسعافات الأولية، وأخرى للتمريض، فضلًا عن غرفة أو أكثر لتغيير الملابس. أما في المناجم والمحاجر التي يقل عدد العمال في كل منها عن خمسين عاملًا وتقع في دائرة قطرها عشرون كيلو مترًا فيجوز لصاحب العمل أن يشترك في إنشاء مكان للإنقاذ والإسعاف في مكان وسط، أو ينشئ مكانًا للإنقاذ والإسعاف مستقلًّا. وللوزير تحديد وسائل الإنقاذ والإسعاف وتدابير الوقاية والحماية في المناجم والمحاجر، وكذلك مسؤوليات أصحاب العمل وحقوق العمال وواجباتهم.,المادة السابعة عشرة : على صاحب العمل أن يحتفظ في مكان العمل بالسجلات والكشوف والملفات التي تحدد ماهيتها، والبيانات التي يجب أن تتضمنها اللائحة. وعليه أن يضع في مكان ظاهر بموقع العمل جدولًا بمواعيد العمل، وفترات الراحة، ويوم الراحة الأسبوعي، ومواعيد بدء كل نوبة وانتهائها في حالة العمل بأسلوب المناوبة.
ما هي إجازة العدة للمرأة العاملة المتوفى عنها زوجها؟,"المادة الستون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - للمرأة العاملة المسلمة التي يتوفى زوجها الحق في إجازة عدة بأجر كامل لمدة لا تقل عن أربعة أشهر وعشرة أيام من تاريخ الوفاة، ولها الحق في تمديد هذه الإجازة دون أجر إن كانت حاملاً - خلال هذه الفترة - حتى تضع حملها، ولا يجوز لها الاستفادة من باقي إجازة العدة الممنوحة لها – بموجب هذا النظام – بعد وضع حملها. 2 - للمرأة العاملة غير المسلمة التي يتوفى زوجها الحق في إجازة بأجر كامل لمدة خمسة عشر يوماً. وفي جميع الأحوال لا يجوز للعاملة المتوفى عنها زوجها ممارسة أي عمل لدى الغير خلال هذه المدة. ويحق لصاحب العمل أن يطلب الوثائق المؤيدة للحالات المشار إليها"".","المادة الثانية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر"".","المادة الحادية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر""."
ما هي شروط صحة شرط عدم المنافسة؟,المادة السابعة والأربعون بعد المائة: يلزم صاحب العمل الذي يؤدي عملًا في الأماكن البعيدة عن العمران، وفي المناجم والمحاجر ومراكز التنقيب عن النفط بتوفير المساكن والمخيمات والوجبات الغذائية للعمال. ويحدد الوزير بقرار منه شروط المساكن والمخيمات ومواصفاتها ومقابل الانتفاع بالمساكن، وكذلك عدد الوجبات الغذائية وكميات الطعام وأنواعه والشروط اللازمة لها، وما يتحمله العامل مقابل الوجبة، وغير ذلك مما يلزم للمحافظة على صحة العمال.,المادة الثامنة : يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,"المادة الثالثة والأربعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""مع عدم الإخلال بما تنص عليه اتفاقيات الامتياز وغيرها من الاتفاقيات من شروط وقواعد خاصة بالتدريب والتأهيل؛ على كل صاحب عمل يشغّل خمسين عاملاً فأكثر أن يؤهل أو يدرب على أعماله من عماله السعوديين ما لا يقل عن (12%) من مجموع عماله سنوياً، ويدخل ضمن هذه النسبة العمال السعوديون الذين يكملون دراساتهم إذا كان صاحب العمل يتحمل تكاليف الدراسة. وللوزير أن يرفع هذه النسبة في بعض المنشآت التي يحددها بقرار منه""."
إذا انتهى عقد البحار والسفينة في عرض البحر، متى ينتهي فعلياً؟,المادة الرابعة والثمانون بعد المائة : يلتزم المجهز بترحيل البحار إلى بلده في الحالات الآتية 1 - إذا ألغي السفر بفعل مجهز السفينة بعد قيام السفينة. 2 - إذا ألغي السفر بعد إبحار السفينة، بسبب منع التجارة مع الجهة التي عينت لسفرها. 3 - إذا أخرج البحار من السفينة بسبب إصابته بمرض، أو جرح، أو عاهة. 4 - إذا بيعت السفينة في بلد أجنبي. 5 - إذا عزل البحار من الخدمة أثناء السفر من غير مسوغ نظامي. 6 - إذا انتهى العقد المبرم مع البحار في ميناء غير الميناء الذي نص عليه العقد.,المادة الرابعة والسبعون بعد المائة : تدفع جميع استحقاقات البحار بالعملة الرسمية ، ويجوز أداؤها بالعملة الأجنبية إذا استحقت والسفينة خارج المياه الإقليمية وقبل البحار ذلك. وللبحار أن يطلب من صاحب العمل صرف ما يستحقه من أجره النقدي لمن يعينه.,المادة الحادية والسبعون بعد المائة : يجب أن ينص في عقد العمل البحري على تاريخ إبرامه ومكانه، واسم المجهز، واسم البحار ولقبه وسنه وجنسيته وموطنه، ونوع العمل المكلف به، وكيفية أدائه، والشهادة التي تتيح له العمل في الملاحة البحرية، والتذكرة الشخصية البحرية، ومقدار الأجر، ومدة العقد، أما إذا كان العقد لسفرة واحدة فيجب تحديد المدينة أو المرفأ البحري الذي تنتهي عنده الرحلة، وفي أي مرحلة من مراحل تفريغ السفينة أو تحميلها في هذا المرفأ ينتهي العمل، وغير ذلك من تفاصيل العقد. ويكون العقد من ثلاث نسخ نسخة لمجهز السفينة، ونسخة للربان للاحتفاظ بها على ظهر السفينة، ونسخة للبحار.
كيف يتم حساب ساعات العمل الإضافية؟,المادة المائة : يجوز لصاحب العمل- بموافقة الوزارة- في المنشآت التي تقتضي طبيعة العمل فيها أداء العمل بالتناوب زيادة ساعات العمل على ثماني ساعات عمل في اليوم أو ثمان وأربعين ساعة في الأسبوع، بشرط ألا يزيد متوسط ساعات العمل عند احتسابه لمدة ثلاثة أسابيع أو أقل على ثماني ساعات يوميًّا أو ثمان وأربعين ساعة أسبوعيًّا.,المادة الرابعة والستون بعد المائة : لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد لسائر شهور السنة، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات. وتنظم ساعات العمل بحيث لا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات. ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية. ولا تسري عليهم الاستثناءات التي نصت عليها المادة السادسة بعد المائة من هذا النظام.,المادة الثامنة والتسعون : لا يجوز تشغيل العامل تشغيلًا فعليًّا أكثر من ثماني ساعات في اليوم الواحد، إذا اعتمد صاحب العمل المعيار اليومي، أو أكثر من ثمان وأربعين ساعة في الأسبوع، إذا اعتمد المعيار الأسبوعي. وتخفض ساعات العمل الفعلية خلال شهر رمضان للمسلمين، بحيث لا تزيد على ست ساعات في اليوم، أو ست وثلاثين ساعة في الأسبوع.
هل تحسب الإجازة بدون راتب في مكافأة نهاية الخدمة؟,المادة السادسة والثمانون : استثناء من حكم المادة (الثامنة) من هذا النظام، يجوز الاتفاق على ألا تحسب في الأجر الذي تسوى على أساسه مكافأة نهاية الخدمة جميع مبالغ العمولات أو بعضها والنسب المئوية عن ثمن المبيعات وما أشبه ذلك من عناصر الأجر الذي يدفع إلى العامل وتكون قابلة بطبيعتها للزيادة والنقص.,المادة الرابعة والثمانون : إذا انتهت علاقة العمل وجب على صاحب العمل أن يدفع إلى العامل مكافأة عن مدة خدمته تحسب على أساس أجر نصف شهر عن كل سنة من السنوات الخمس الأولى، وأجر شهر عن كل سنة من السنوات التالية، ويتخذ الأجر الأخير أساسًا لحساب المكافأة، ويستحق العامل مكافأة عن أجزاء السنة بنسبة ما قضاه منها في العمل.,المادة العاشرة بعد المائة : 1- للعامل بموافقة صاحب العمل أن يؤجل إجازته السنوية أو أيامًا منها إلى السنة التالية. 2 - لصاحب العمل حق تأجيل إجازة العامل بعد نهاية سنة استحقاقها إذا اقتضت ظروف العمل ذلك لمدة لا تزيد على تسعين يومًا، فإذا اقتضت ظروف العمل استمرار التأجيل وجب الحصول على موافقة العامل كتابة، على ألا يتعدى التأجيل نهاية السنة التالية لسنة استحقاق الإجازة.
ماذا لو أنهى أحد الطرفين العقد دون مراعاة مهلة الإشعار؟,"المادة السادسة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا لم يراع الطرف الذي أنهى العقد غير المحدد المدة المهلة المحدد للإشعار وفقاً للمادة (الخامسة والسبعين) من هذا النظام، فإنه يلتزم بأن يدفع للطرف الآخر عن مهلة الإشعار مبلغاً مساوياً لأجر العامل عن المهلة نفسها، ما لم يتفق الطرفان على أكثر من ذلك"".",المادة الحادية والثمانون : يحق للعامل أن يترك العمل دون إشعار مع احتفاظه بحقوقه النظامية كلها، وذلك في أي من الحالات الآتية 1 - إذا لم يقم صاحب العمل بالوفاء بالتزاماته العقدية أو النظامية الجوهرية إزاء العامل. 2 - إذا ثبت أن صاحب العمل أو من يمثله قد أدخل عليه الغش وقت التعاقد فيما يتعلق بشروط العمل وظروفه. 3 - إذا كلفه صاحب العمل دون رضاه بعمل يختلف جوهريًّا عن العمل المتفق عليه، وخلافًا لما تقرره المادة الستون من هذا النظام. 4 - إذا وقع من صاحب العمل أو من أحد أفراد أسرته أو من المدير المسؤول اعتداء يتسم بالعنف، أو سلوك مخل بالآداب نحو العامل أو أحد أفراد أسرته. 5 - إذا اتسمت معاملة صاحب العمل أو المدير المسؤول بمظاهر من القسوة والجور أو الإهانة. 6 - إذا كان في مقر العمل خطر جسيم يهدد سلامة العامل أو صحته، بشرط أن يكون صاحب العمل قد علم بوجوده، ولم يتخذ من الإجراءات ما يدل على إزالته. 7 - إذا كان صاحب العمل أو من يمثله قد دفع العامل بتصرفاته وعلى الأخص بمعاملته الجائرة أو بمخالفته شروط العقد إلى أن يكون العامل في الظاهر هو الذي أنهى العقد.,"المادة السابعة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""ما لم يتضمن العقد تعويضاً محدداً مقابل إنهائه من أحد الطرفين لسبب غير مشروع، يستحق الطرف المتضرر من إنهاء العقد تعويضاً على النحو الآتي 1 - أجر خمسة عشر يوماً عن كل سنة من سنوات خدمة العامل، إذا كان العقد غير محدد المدة. 2 - أجر المدة الباقية من العقد إذا كان العقد محدد المدة. 3 - يجب ألا يقل التعويض المشار إليه في الفقرتين (1) و(2) من هذه المادة عن أجر العامل لمدة شهرين""."
على من يقع عبء إبلاغ الوزارة عن مخالفات نظام العمل؟,"المادة السادسة والتسعون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يختص مفتشو العمل بما يأتي 1 - مراقبة تنفيذ أحكام هذا النظام واللائحة والقرارات الصادرة تنفيذاً له. 2 - تزويد أصحاب العمل والعمال بالمعلومات والإرشادات الفنية التي تمكنهم من اتباع أحسن الوسائل لتنفيذ أحكام هذا النظام. 3 - إبلاغ الجهات المختصة بأوجه النقص التي تقصر الأحكام القائمة من معالجتها، واقتراح ما يلزم لذلك. 4 - ضبط مخالفات أحكام هذا النظام واللائحة والقرارات الصادرة تنفيذاً له. 5 - التحقق من المخالفات التي تضبطها جهات حكومية مختصة أخرى وتحال إلى الوزارة. 6 - اقتراح الغرامة المناسبة وفقاً لجدول المخالفات والعقوبات"".","المادة الثالثة والثلاثون بعد المائتين: - أُضيفت هذه المادة وذلك بموجب المرسوم الملكي رقم (م/46) وتاريخ 1436/6/5هـ، لتكون بالنص الآتي "" للوزير منح مكافأة مالية لا تزيد على 25% من مبلغ الغرامة المحصلة لمن يساعد - من موظفي التفتيش أو من غيرهم - في الكشف عن أيّ من مخالفات أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له.""",المادة الثامنة والستون : لا يجوز تشديد الجزاء في حالة تكرار المخالفة إذا كان قد انقضى على المخالفة السابقة مائة وثمانون يومًا من تاريخ إبلاغ العامل بتوقيع الجزاء عليه عن تلك المخالفة.
كيف يمكن معرفة التعديلات الجديدة على نظام العمل؟,المادة الأولى بعد المائتين : لمفتش العمل الحق في إصدار التعليمات إلى أصحاب العمل بإدخال التعديلات على قواعد العمل في الأجهزة والمعدات لديهم في الآجال التي يحددها، وذلك لضمان مراعاة الأحكام الخاصة بصحة العمال وسلامتهم، كما له في حالة وجود خطر يهدد صحة العمال وسلامتهم أن يطلب تنفيذ ما يراه لازمًا من إجراءات لدرء هذا الخطر فورًا.,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,المادة الثانية والثلاثون بعد المائة : لا تسري أحكام هذا الفصل على المنشآت التي تخضع لفرع الأخطار المهنية من نظام التأمينات الاجتماعية.
هل توجد غرامة لمخالفة أحكام ذوي الإعاقة؟,"المادة الحادية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر"".","المادة الثانية والخمسون بعد المائة : تم تعديل أحكام المادتين (الحادية والخمسين بعد المائة) و(الثانية والخمسين بعد المائة)؛ وإعادة صياغتهما بعد تعديل أحكامهما لتكون في مادة واحدة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الحادية والخمسون بعد المائة 1 - للمرأة العاملة الحق في إجازة وضع بأجر كامل لمدة عشرة أسابيع توزعها كيف تشاء؛ تبدأ بحدٍّ أقصى بأربعة أسابيع قبل التاريخ المرجح للوضع، ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية. 2 - يحظر تشغيل المرأة بعد الوضع بأي حال من الأحوال خلال الستة أسابيع التالية له، ولها الحق في تمديد الإجازة مدة شهر دون أجر. 3 - للمرأة العاملة - في حالة إنجاب طفل مريض أو من ذوي الاحتياجات الخاصة وتتطلب حالته الصحية مرافقاً مستمراً له - الحق في إجازة مدتها شهر بأجر كامل تبدأ بعد انتهاء مدة إجازة الوضع، ولها الحق في تمديد الإجازة لمدة شهر دون أجر"".",المادة الرابعة : يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.
هل تلزم المنشأة بحضانة أطفال ضمن تجهيزات المقر؟,المادة التاسعة والخمسون بعد المائة : 1- على كل صاحب عمل يشغل خمسين عاملة فأكثر أن يهيئ مكانًا مناسبًا يتوافر فيه العدد الكافي من المربيات، لرعاية أطفال العاملات الذين تقل أعمارهم عن ست سنوات، وذلك إذا بلغ عدد الأطفال عشرة فأكثر. 2 - يجوز للوزير أن يلزم صاحب العمل الذي يستخدم مائة عاملة فأكثر في مدينة واحدة أن ينشئ دارًا للحضانة بنفسه أو بالمشاركة مع أصحاب عمل آخرين في المدينة نفسها، أو يتعاقد مع دار للحضانة قائمة لرعاية أطفال العاملات الذين تقل أعمارهم عن ست سنوات وذلك أثناء فترات العمل، وفي هذه الحالة يحدد الوزير الشروط والأوضاع التي تنظم هذه الدار، كما يقرر نسبة التكاليف التي تفرض على العاملات المستفيدات من هذه الخدمة .,المادة الثانية بعد المائة : لا تدخل الفترات المخصصة للراحة والصلاة والطعام ضمن ساعات العمل الفعلية، ولا يكون العامل خلال هذه الفترات تحت سلطة صاحب العمل، ولا يجوز لصاحب العمل أن يلزم العامل بالبقاء خلالها في مكان العمل.,"المادة الثالثة والأربعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""مع عدم الإخلال بما تنص عليه اتفاقيات الامتياز وغيرها من الاتفاقيات من شروط وقواعد خاصة بالتدريب والتأهيل؛ على كل صاحب عمل يشغّل خمسين عاملاً فأكثر أن يؤهل أو يدرب على أعماله من عماله السعوديين ما لا يقل عن (12%) من مجموع عماله سنوياً، ويدخل ضمن هذه النسبة العمال السعوديون الذين يكملون دراساتهم إذا كان صاحب العمل يتحمل تكاليف الدراسة. وللوزير أن يرفع هذه النسبة في بعض المنشآت التي يحددها بقرار منه""."
هل للعامل المتقاعد حقوق خاصة؟,المادة السادسة والخمسون : في جميع الحالات التي يتجدد فيها العقد لمدة محددة، تعد المدة التي تجدد إليها العقد امتدادًا للمدة الأصلية في تحديد حقوق العامل التي تدخل مدة الخدمة في حسابها.,المادة الثانية والتسعون : لا يجوز حسم أي مبلغ من أجور العامل لقاء حقوق خاصة دون موافقة خطية منه، إلا في الحالات الآتية 1 - استرداد قروض صاحب العمل، بشرط ألا يزيد ما يحسم من العامل في هذه الحالة على 10% من أجره. 2 - اشتراكات التأمينات الاجتماعية ، وأي اشتراكات أخرى مستحقة على العامل ومقررة نظامًا. 3 - اشتراكات العامل في صندوق الادخار والقروض المستحقة للصندوق. 4 - أقساط أي مشروع يقوم به صاحب العمل لبناء المساكن بقصد تمليكها للعمال أو أي مزية أخرى. 5 - الغرامات التي توقع على العامل بسبب المخالفات التي يرتكبها، وكذلك المبلغ الذي يقتطع منه مقابل ما أتلفه. 6 - استيفاء دين إنفاذًا لأي حكم قضائي، على ألَّا يزيد ما يحسم شهريًّا لقاء ذلك على ربع الأجر المستحق للعامل ما لم يتضمن الحكم خلاف ذلك. ويستوفى دين النفقة أولًا، ثم دين المأكل والملبس والمسكن قبل الديون الأخرى.,المادة الثامنة : يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.
هل يجب وجود صندوق إسعافات أولية في مكان العمل؟,المادة السابعة عشرة : على صاحب العمل أن يحتفظ في مكان العمل بالسجلات والكشوف والملفات التي تحدد ماهيتها، والبيانات التي يجب أن تتضمنها اللائحة. وعليه أن يضع في مكان ظاهر بموقع العمل جدولًا بمواعيد العمل، وفترات الراحة، ويوم الراحة الأسبوعي، ومواعيد بدء كل نوبة وانتهائها في حالة العمل بأسلوب المناوبة.,"المادة الثالثة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",المادة الأولى بعد المائتين : لمفتش العمل الحق في إصدار التعليمات إلى أصحاب العمل بإدخال التعديلات على قواعد العمل في الأجهزة والمعدات لديهم في الآجال التي يحددها، وذلك لضمان مراعاة الأحكام الخاصة بصحة العمال وسلامتهم، كما له في حالة وجود خطر يهدد صحة العمال وسلامتهم أن يطلب تنفيذ ما يراه لازمًا من إجراءات لدرء هذا الخطر فورًا.
